Algorithm,DataType,Size,Run,TimeMicroseconds,Comparisons,Moves
Insertion Sort,Random,5000,1,44909,6278567,6283576
Merge Sort,Random,5000,1,1772,55171,123616
Insertion Sort,Sorted,5000,1,26,4999,9998
Merge Sort,Sorted,5000,1,1298,32004,123616
Insertion Sort,Reversed,5000,1,66615,12497500,12507498
Merge Sort,Reversed,5000,1,1399,29804,123616
Insertion Sort,Random,5000,2,36150,6292427,6297434
Merge Sort,Random,5000,2,1663,55174,123616
Insertion Sort,Sorted,5000,2,40,4999,9998
Merge Sort,Sorted,5000,2,1330,32004,123616
Insertion Sort,Reversed,5000,2,67685,12497500,12507498
Merge Sort,Reversed,5000,2,1291,29804,123616
Insertion Sort,Random,5000,3,27521,6222827,6227830
Merge Sort,Random,5000,3,1968,55223,123616
Insertion Sort,Sorted,5000,3,34,4999,9998
Merge Sort,Sorted,5000,3,1300,32004,123616
Insertion Sort,Reversed,5000,3,61053,12497500,12507498
Merge Sort,Reversed,5000,3,1411,29804,123616
Insertion Sort,Random,5000,4,33635,6286237,6291247
Merge Sort,Random,5000,4,1863,55241,123616
Insertion Sort,Sorted,5000,4,33,4999,9998
Merge Sort,Sorted,5000,4,1317,32004,123616
Insertion Sort,Reversed,5000,4,63738,12497500,12507498
Merge Sort,Reversed,5000,4,1287,29804,123616
Insertion Sort,Random,5000,5,27896,6305945,6310952
Merge Sort,Random,5000,5,1627,55220,123616
Insertion Sort,Sorted,5000,5,26,4999,9998
Merge Sort,Sorted,5000,5,1235,32004,123616
Insertion Sort,Reversed,5000,5,56799,12497500,12507498
Merge Sort,Reversed,5000,5,1260,29804,123616
Insertion Sort,Random,10000,1,123081,25006490,25016494
Merge Sort,Random,10000,1,3359,120396,267232
Insertion Sort,Sorted,10000,1,53,9999,19998
Merge Sort,Sorted,10000,1,2542,69008,267232
Insertion Sort,Reversed,10000,1,261821,49995000,50014998
Merge Sort,Reversed,10000,1,2605,64608,267232
Insertion Sort,Random,10000,2,114004,25239679,25249687
Merge Sort,Random,10000,2,3448,120385,267232
Insertion Sort,Sorted,10000,2,54,9999,19998
Merge Sort,Sorted,10000,2,2604,69008,267232
Insertion Sort,Reversed,10000,2,252219,49995000,50014998
Merge Sort,Reversed,10000,2,2549,64608,267232
Insertion Sort,Random,10000,3,116699,24705318,24715325
Merge Sort,Random,10000,3,3348,120292,267232
Insertion Sort,Sorted,10000,3,52,9999,19998
Merge Sort,Sorted,10000,3,2543,69008,267232
Insertion Sort,Reversed,10000,3,238749,49995000,50014998
Merge Sort,Reversed,10000,3,2612,64608,267232
Insertion Sort,Random,10000,4,134763,25137615,25147624
Merge Sort,Random,10000,4,3352,120567,267232
Insertion Sort,Sorted,10000,4,52,9999,19998
Merge Sort,Sorted,10000,4,2589,69008,267232
Insertion Sort,Reversed,10000,4,270288,49995000,50014998
Merge Sort,Reversed,10000,4,2539,64608,267232
Insertion Sort,Random,10000,5,130535,25052981,25062991
Merge Sort,Random,10000,5,3326,120465,267232
Insertion Sort,Sorted,10000,5,53,9999,19998
Merge Sort,Sorted,10000,5,2554,69008,267232
Insertion Sort,Reversed,10000,5,264637,49995000,50014998
Merge Sort,Reversed,10000,5,2579,64608,267232
Insertion Sort,Random,50000,1,3167335,623232650,623282660
Merge Sort,Random,50000,1,18882,718280,1568928
Insertion Sort,Sorted,50000,1,264,49999,99998
Merge Sort,Sorted,50000,1,13961,401952,1568928
Insertion Sort,Reversed,50000,1,6325591,1249975000,1250074998
Merge Sort,Reversed,50000,1,14289,382512,1568928
Insertion Sort,Random,50000,2,3180351,628995760,629045767
Merge Sort,Random,50000,2,19399,718192,1568928
Insertion Sort,Sorted,50000,2,287,49999,99998
Merge Sort,Sorted,50000,2,14932,401952,1568928
Insertion Sort,Reversed,50000,2,6421275,1249975000,1250074998
Merge Sort,Reversed,50000,2,13702,382512,1568928
Insertion Sort,Random,50000,3,3140881,625618194,625668199
Merge Sort,Random,50000,3,19874,718355,1568928
Insertion Sort,Sorted,50000,3,273,49999,99998
Merge Sort,Sorted,50000,3,14460,401952,1568928
Insertion Sort,Reversed,50000,3,6397621,1249975000,1250074998
Merge Sort,Reversed,50000,3,13605,382512,1568928
Insertion Sort,Random,50000,4,3280566,627221818,627271825
Merge Sort,Random,50000,4,18573,718206,1568928
Insertion Sort,Sorted,50000,4,263,49999,99998
Merge Sort,Sorted,50000,4,13881,401952,1568928
Insertion Sort,Reversed,50000,4,6332484,1249975000,1250074998
Merge Sort,Reversed,50000,4,13653,382512,1568928
Insertion Sort,Random,50000,5,3199493,630050437,630100444
Merge Sort,Random,50000,5,20482,718130,1568928
Insertion Sort,Sorted,50000,5,261,49999,99998
Merge Sort,Sorted,50000,5,14204,401952,1568928
Insertion Sort,Reversed,50000,5,6417488,1249975000,1250074998
Merge Sort,Reversed,50000,5,13875,382512,1568928
